question,schema,gold_sql,db_name,db_type
How many singers do we have?,"Table: concert, Columns: [concert_ID(INT), concert_Name(TEXT), Theme(TEXT), Stadium_ID(TEXT), Year(TEXT)] | Table: singer, Columns: [Singer_ID(INT), Name(TEXT), Country(TEXT), Song_Name(TEXT), Song_release_year(TEXT), Age(INT), Is_male(bool)] | Table: singer_in_concert, Columns: [concert_ID(INT), Singer_ID(TEXT)] | Table: stadium, Columns: [Stadium_ID(INT), Location(TEXT), Name(TEXT), Capacity(INT), Highest(INT), Lowest(INT), Average(INT)]",SELECT count(*) FROM singer,concert_singer,sqlite
What is the total number of singers?,"Table: concert, Columns: [concert_ID(INT), concert_Name(TEXT), Theme(TEXT), Stadium_ID(TEXT), Year(TEXT)] | Table: singer, Columns: [Singer_ID(INT), Name(TEXT), Country(TEXT), Song_Name(TEXT), Song_release_year(TEXT), Age(INT), Is_male(bool)] | Table: singer_in_concert, Columns: [concert_ID(INT), Singer_ID(TEXT)] | Table: stadium, Columns: [Stadium_ID(INT), Location(TEXT), Name(TEXT), Capacity(INT), Highest(INT), Lowest(INT), Average(INT)]",SELECT count(*) FROM singer,concert_singer,sqlite
"Show name, country, age for all singers ordered by age from the oldest to the youngest.","Table: concert, Columns: [concert_ID(INT), concert_Name(TEXT), Theme(TEXT), Stadium_ID(TEXT), Year(TEXT)] | Table: singer, Columns: [Singer_ID(INT), Name(TEXT), Country(TEXT), Song_Name(TEXT), Song_release_year(TEXT), Age(INT), Is_male(bool)] | Table: singer_in_concert, Columns: [concert_ID(INT), Singer_ID(TEXT)] | Table: stadium, Columns: [Stadium_ID(INT), Location(TEXT), Name(TEXT), Capacity(INT), Highest(INT), Lowest(INT), Average(INT)]","SELECT name ,  country ,  age FROM singer ORDER BY age DESC",concert_singer,sqlite
"What are the names, countries, and ages for every singer in descending order of age?","Table: concert, Columns: [concert_ID(INT), concert_Name(TEXT), Theme(TEXT), Stadium_ID(TEXT), Year(TEXT)] | Table: singer, Columns: [Singer_ID(INT), Name(TEXT), Country(TEXT), Song_Name(TEXT), Song_release_year(TEXT), Age(INT), Is_male(bool)] | Table: singer_in_concert, Columns: [concert_ID(INT), Singer_ID(TEXT)] | Table: stadium, Columns: [Stadium_ID(INT), Location(TEXT), Name(TEXT), Capacity(INT), Highest(INT), Lowest(INT), Average(INT)]","SELECT name ,  country ,  age FROM singer ORDER BY age DESC",concert_singer,sqlite
"What is the average, minimum, and maximum age of all singers from France?","Table: concert, Columns: [concert_ID(INT), concert_Name(TEXT), Theme(TEXT), Stadium_ID(TEXT), Year(TEXT)] | Table: singer, Columns: [Singer_ID(INT), Name(TEXT), Country(TEXT), Song_Name(TEXT), Song_release_year(TEXT), Age(INT), Is_male(bool)] | Table: singer_in_concert, Columns: [concert_ID(INT), Singer_ID(TEXT)] | Table: stadium, Columns: [Stadium_ID(INT), Location(TEXT), Name(TEXT), Capacity(INT), Highest(INT), Lowest(INT), Average(INT)]","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'",concert_singer,sqlite
"What is the average, minimum, and maximum age for all French singers?","Table: concert, Columns: [concert_ID(INT), concert_Name(TEXT), Theme(TEXT), Stadium_ID(TEXT), Year(TEXT)] | Table: singer, Columns: [Singer_ID(INT), Name(TEXT), Country(TEXT), Song_Name(TEXT), Song_release_year(TEXT), Age(INT), Is_male(bool)] | Table: singer_in_concert, Columns: [concert_ID(INT), Singer_ID(TEXT)] | Table: stadium, Columns: [Stadium_ID(INT), Location(TEXT), Name(TEXT), Capacity(INT), Highest(INT), Lowest(INT), Average(INT)]","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'",concert_singer,sqlite
Show the name and the release year of the song by the youngest singer.,"Table: concert, Columns: [concert_ID(INT), concert_Name(TEXT), Theme(TEXT), Stadium_ID(TEXT), Year(TEXT)] | Table: singer, Columns: [Singer_ID(INT), Name(TEXT), Country(TEXT), Song_Name(TEXT), Song_release_year(TEXT), Age(INT), Is_male(bool)] | Table: singer_in_concert, Columns: [concert_ID(INT), Singer_ID(TEXT)] | Table: stadium, Columns: [Stadium_ID(INT), Location(TEXT), Name(TEXT), Capacity(INT), Highest(INT), Lowest(INT), Average(INT)]","SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",concert_singer,sqlite
What are the names and release years for all the songs of the youngest singer?,"Table: concert, Columns: [concert_ID(INT), concert_Name(TEXT), Theme(TEXT), Stadium_ID(TEXT), Year(TEXT)] | Table: singer, Columns: [Singer_ID(INT), Name(TEXT), Country(TEXT), Song_Name(TEXT), Song_release_year(TEXT), Age(INT), Is_male(bool)] | Table: singer_in_concert, Columns: [concert_ID(INT), Singer_ID(TEXT)] | Table: stadium, Columns: [Stadium_ID(INT), Location(TEXT), Name(TEXT), Capacity(INT), Highest(INT), Lowest(INT), Average(INT)]","SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",concert_singer,sqlite
What are all distinct countries where singers above age 20 are from?,"Table: concert, Columns: [concert_ID(INT), concert_Name(TEXT), Theme(TEXT), Stadium_ID(TEXT), Year(TEXT)] | Table: singer, Columns: [Singer_ID(INT), Name(TEXT), Country(TEXT), Song_Name(TEXT), Song_release_year(TEXT), Age(INT), Is_male(bool)] | Table: singer_in_concert, Columns: [concert_ID(INT), Singer_ID(TEXT)] | Table: stadium, Columns: [Stadium_ID(INT), Location(TEXT), Name(TEXT), Capacity(INT), Highest(INT), Lowest(INT), Average(INT)]",SELECT DISTINCT country FROM singer WHERE age  >  20,concert_singer,sqlite
What are  the different countries with singers above age 20?,"Table: concert, Columns: [concert_ID(INT), concert_Name(TEXT), Theme(TEXT), Stadium_ID(TEXT), Year(TEXT)] | Table: singer, Columns: [Singer_ID(INT), Name(TEXT), Country(TEXT), Song_Name(TEXT), Song_release_year(TEXT), Age(INT), Is_male(bool)] | Table: singer_in_concert, Columns: [concert_ID(INT), Singer_ID(TEXT)] | Table: stadium, Columns: [Stadium_ID(INT), Location(TEXT), Name(TEXT), Capacity(INT), Highest(INT), Lowest(INT), Average(INT)]",SELECT DISTINCT country FROM singer WHERE age  >  20,concert_singer,sqlite
Show all countries and the number of singers in each country.,"Table: concert, Columns: [concert_ID(INT), concert_Name(TEXT), Theme(TEXT), Stadium_ID(TEXT), Year(TEXT)] | Table: singer, Columns: [Singer_ID(INT), Name(TEXT), Country(TEXT), Song_Name(TEXT), Song_release_year(TEXT), Age(INT), Is_male(bool)] | Table: singer_in_concert, Columns: [concert_ID(INT), Singer_ID(TEXT)] | Table: stadium, Columns: [Stadium_ID(INT), Location(TEXT), Name(TEXT), Capacity(INT), Highest(INT), Lowest(INT), Average(INT)]","SELECT country ,  count(*) FROM singer GROUP BY country",concert_singer,sqlite
How many singers are from each country?,"Table: concert, Columns: [concert_ID(INT), concert_Name(TEXT), Theme(TEXT), Stadium_ID(TEXT), Year(TEXT)] | Table: singer, Columns: [Singer_ID(INT), Name(TEXT), Country(TEXT), Song_Name(TEXT), Song_release_year(TEXT), Age(INT), Is_male(bool)] | Table: singer_in_concert, Columns: [concert_ID(INT), Singer_ID(TEXT)] | Table: stadium, Columns: [Stadium_ID(INT), Location(TEXT), Name(TEXT), Capacity(INT), Highest(INT), Lowest(INT), Average(INT)]","SELECT country ,  count(*) FROM singer GROUP BY country",concert_singer,sqlite
List all song names by singers above the average age.,"Table: concert, Columns: [concert_ID(INT), concert_Name(TEXT), Theme(TEXT), Stadium_ID(TEXT), Year(TEXT)] | Table: singer, Columns: [Singer_ID(INT), Name(TEXT), Country(TEXT), Song_Name(TEXT), Song_release_year(TEXT), Age(INT), Is_male(bool)] | Table: singer_in_concert, Columns: [concert_ID(INT), Singer_ID(TEXT)] | Table: stadium, Columns: [Stadium_ID(INT), Location(TEXT), Name(TEXT), Capacity(INT), Highest(INT), Lowest(INT), Average(INT)]",SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),concert_singer,sqlite
What are all the song names by singers who are older than average?,"Table: concert, Columns: [concert_ID(INT), concert_Name(TEXT), Theme(TEXT), Stadium_ID(TEXT), Year(TEXT)] | Table: singer, Columns: [Singer_ID(INT), Name(TEXT), Country(TEXT), Song_Name(TEXT), Song_release_year(TEXT), Age(INT), Is_male(bool)] | Table: singer_in_concert, Columns: [concert_ID(INT), Singer_ID(TEXT)] | Table: stadium, Columns: [Stadium_ID(INT), Location(TEXT), Name(TEXT), Capacity(INT), Highest(INT), Lowest(INT), Average(INT)]",SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),concert_singer,sqlite
Show location and name for all stadiums with a capacity between 5000 and 10000.,"Table: concert, Columns: [concert_ID(INT), concert_Name(TEXT), Theme(TEXT), Stadium_ID(TEXT), Year(TEXT)] | Table: singer, Columns: [Singer_ID(INT), Name(TEXT), Country(TEXT), Song_Name(TEXT), Song_release_year(TEXT), Age(INT), Is_male(bool)] | Table: singer_in_concert, Columns: [concert_ID(INT), Singer_ID(TEXT)] | Table: stadium, Columns: [Stadium_ID(INT), Location(TEXT), Name(TEXT), Capacity(INT), Highest(INT), Lowest(INT), Average(INT)]","SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000",concert_singer,sqlite
What are the locations and names of all stations with capacity between 5000 and 10000?,"Table: concert, Columns: [concert_ID(INT), concert_Name(TEXT), Theme(TEXT), Stadium_ID(TEXT), Year(TEXT)] | Table: singer, Columns: [Singer_ID(INT), Name(TEXT), Country(TEXT), Song_Name(TEXT), Song_release_year(TEXT), Age(INT), Is_male(bool)] | Table: singer_in_concert, Columns: [concert_ID(INT), Singer_ID(TEXT)] | Table: stadium, Columns: [Stadium_ID(INT), Location(TEXT), Name(TEXT), Capacity(INT), Highest(INT), Lowest(INT), Average(INT)]","SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000",concert_singer,sqlite
What is the maximum capacity and the average of all stadiums ?,"Table: concert, Columns: [concert_ID(INT), concert_Name(TEXT), Theme(TEXT), Stadium_ID(TEXT), Year(TEXT)] | Table: singer, Columns: [Singer_ID(INT), Name(TEXT), Country(TEXT), Song_Name(TEXT), Song_release_year(TEXT), Age(INT), Is_male(bool)] | Table: singer_in_concert, Columns: [concert_ID(INT), Singer_ID(TEXT)] | Table: stadium, Columns: [Stadium_ID(INT), Location(TEXT), Name(TEXT), Capacity(INT), Highest(INT), Lowest(INT), Average(INT)]","select max(capacity), average from stadium",concert_singer,sqlite
What is the average and maximum capacities for all stadiums ?,"Table: concert, Columns: [concert_ID(INT), concert_Name(TEXT), Theme(TEXT), Stadium_ID(TEXT), Year(TEXT)] | Table: singer, Columns: [Singer_ID(INT), Name(TEXT), Country(TEXT), Song_Name(TEXT), Song_release_year(TEXT), Age(INT), Is_male(bool)] | Table: singer_in_concert, Columns: [concert_ID(INT), Singer_ID(TEXT)] | Table: stadium, Columns: [Stadium_ID(INT), Location(TEXT), Name(TEXT), Capacity(INT), Highest(INT), Lowest(INT), Average(INT)]","select avg(capacity) ,  max(capacity) from stadium",concert_singer,sqlite
